本次排名,上次排名,排名变化,商品ID,商品标题,品牌,国补后价格,付款人数,最新价格,最新付款人数,付款金额,店铺名称,商品链接,备注,8-19_付款人数,8-19_价格,8-20_付款人数,8-20_价格,8-22_付款人数,8-22_价格,页码
11,11,持平,7.19766E+11,人脸识别指纹锁可视电子密码锁家用防盗门锁全自动智能锁智能门锁,云漫,157,2000,151,2000,302000,云漫旗舰店,https://detail.tmall.com/item.htm?id=719765563226&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000Z31RkCZ8Ffq80Vxn485TCzPjBMs30wYQw6M5ZhNKIXc&skuId=5032131717494&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22ed4405dd689f61f2a828133f932f5402%22%7D&spm=a21n57.1.item.10,,同上,151,同上,同上,同上,同上,
12,8,下降4,8.19425E+11,德施曼全自动智能门锁密码锁指纹锁电子锁小嘀Q2P,德施曼,594.15,2291,546.54,2000,1093080,德施曼旗舰店,https://detail.tmall.com/item.htm?id=819425232862&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=f0377552a63ccae7d7219dcb80569794fae06bc4&mi_id=00007VLMINUSHaBs-YlEhjH8GMlzcDEW9kZzX1wwh-CfAzo&skuId=5692634803134&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%227067c6d56cbd799c850a080e6c1cabe8%22%7D&spm=a21n57.1.item.12,,2300,589.05,同上,同上,2000,546.54,
13,9,下降4,8.19023E+11,德施曼智能门锁人脸猫眼大屏智能锁密码锁指纹锁大圣Q5FPRO,德施曼,1784.15,2200,1779.05,2000,3558100,德施曼旗舰店,https://detail.tmall.com/item.htm?id=819023363596&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=147f1377307d29340e80a6c68227261d96fd46d0&mi_id=0000n5TF4GTgQtKduTxBzfk_WMIAiWHQFsnXr9PxeYjxiGY&skuId=5695752399648&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22c82e0bf1a5ad485e7d3f37f38a642482%22%7D&spm=a21n57.1.item.13,,同上,1779.05,同上,同上,2000,同上,
14,21,上涨7,9.21965E+11,凯迪仕Q2FV人脸指纹密码猫眼智能门锁家用入户门电子锁智能门锁,凯迪仕,967.3,1300,894.2,1300,1162460,凯迪仕官方旗舰店,https://detail.tmall.com/item.htm?id=921964511826&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=72cda3e41ee1bc3f3e9747d6002a7b2f4ec1788d&mi_id=0000JaxtMDD6HceobTT8PVcYa22PujDw_IQUnOXhkr39Okw&skuId=5800394277301&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%224770d04f94e05811ae397a005e90f6b5%22%7D&spm=a21n57.1.hoverItem.25,合并了2个相似商品; ,1000,936.7,同上,同上,1300,894.2,
15,15,持平,7.82268E+11,德施曼猫眼大屏智能门锁指纹锁密码锁智能锁大圣Q5MPro（标准版）,德施曼,1444.15,1000,1396.55,1091,1523636.05,德施曼旗舰店,https://detail.tmall.com/item.htm?id=782268387371&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=663b18caace9a3a079cf2f886d5554ce14e262cd&mi_id=00002F1FOALI3n1JoDygRHKIrFm0hyeaDIoCNut3KktJyNY&skuId=5367663137962&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22833dae8fdbb995bdbc8f173c970c754d%22%7D&spm=a21n57.1.item.24,合并了3个相似商品; ,1054,1439.05,同上,同上,1091,1396.55,
16,14,下降2,8.27714E+11,德施曼智能锁可视猫眼大屏指纹密码智能门锁小嘀Q2M,德施曼,934.15,1088,929.05,1078,1001515.9,德施曼旗舰店,https://detail.tmall.com/item.htm?id=827714196780&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=a18f835d32150ef60cffdee6b34764a8a5e970d1&mi_id=0000n1iwG0ccKU1S15hBBTr-Pjqgy0OBVU_SF5aDt3Tc7sU&skuId=5722933347917&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22fd02b26786ea92decff07f9624916918%22%7D&spm=a21n57.1.item.28,合并了2个相似商品; ,1081,929.05,同上,同上,1078,同上,
17,16,下降1,6.6923E+11,博克智能门锁密码锁家用门锁指纹锁防盗门智能锁入户门电子锁V6,博克,373.15,1000,361.77,1000,361770,beck旗舰店,https://detail.tmall.com/item.htm?id=669229626698&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=fe82a863b154dff0c63326eb5a61cd96b28b36aa&mi_id=0000dmI10zRjmAS8JfhH5j_UGctYLkg_B2edsR54abNB0g0&skuId=5080039304354&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22eafe8573dc58bbedf19a0e1186b834cb%22%7D&spm=a21n57.1.item.19,,同上,361.77,同上,同上,同上,同上,
18,17,下降1,7.42972E+11,海尔家用入户智能门锁指纹锁十大品牌防盗门密码锁电子感应锁T16,海尔,399,1000,393,1000,393000,海尔全屋智慧旗舰店,https://detail.tmall.com/item.htm?id=742971798964&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=d109ea307c9a5e2d7ad16f4d4e63be99366366a6&mi_id=0000GEtDYFSuzN8Gcl8yLoLS7j7Yqb5PjFkI6oqh5o7ePTw&skuId=5819252550051&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%229d37ce754ec3b3d5b5d3c16dc013e31c%22%7D&spm=a21n57.1.item.20,,同上,393,同上,同上,同上,同上,
19,19,持平,6.19324E+11,小米智能门锁2门锁指纹锁密码锁家用防盗门电子智能门锁指纹锁,小米,999,1000,959.02,1000,959020,小米官方旗舰店,https://detail.tmall.com/item.htm?id=619323799201&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=b4fcbe30e8dbec6a53188c9aab67d1fc4418bb06&mi_id=0000WVR3mR6IzPpWcAqn2F1n0yQEcVOVTQV138RAsvxhtog&skuId=5690205830346&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%227e339f60cff71bde827d264222add351%22%7D&spm=a21n57.1.item.22,,同上,959.02,同上,889.02,同上,959.02,
20,18,下降2,7.36468E+11,密码锁u型锁玻璃门指纹锁双开门商铺店面U形插锁电子挂锁智能门锁,邦臣,108,1000,103.26,1000,103260,邦臣智能家居旗舰店,https://detail.tmall.com/item.htm?id=736467735235&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000MjVZxTmpDGeAgbgf6T5xqxMGSun0BZtp7nt--N-6KU8&skuId=5834247555899&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%222d444a49be026a4e0696ba5cee48a042%22%7D&spm=a21n57.1.item.21,,同上,103.26,同上,同上,同上,同上,
21,20,下降1,7.6191E+11,公牛指纹锁智能门锁密码锁家用门锁家用防盗门智能锁入户门电子锁,公牛,398.65,1000,398.65,1000,398650,公牛电子锁旗舰店,https://detail.tmall.com/item.htm?id=761909550508&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=2220a246a09c6d6da841ed393317e573dbc8cb2b&mi_id=0000bwvdXqTBFtninYRAVONlLSulAUf93yX-PBMttNpqvQU&skuId=5695309934143&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22fb8621296d8093320f7254f0d49a3a2f%22%7D&spm=a21n57.1.item.23,,同上,同上,同上,同上,同上,同上,
22,N/A,新品,6.71516E+11,玻璃门指纹锁免开孔有框无框单双门办公室密码锁电子智能锁门禁锁,未识别,129.56,1000,129.56,1000,129560,blacksails黑帆旗舰店,https://detail.tmall.com/item.htm?id=671516360008&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000sdrXC7mze1d2hWokcDKJQJRkW-Rhk0BVJWiNNlDpoI8&skuId=5928526687969&priceTId=213e048517558475049338803e127c&utparam=%7B%22aplus_abtest%22%3A%22a26cf7d4bcd6665ed4e1851fcf8842e2%22%7D&spm=a21n57.1.item.23,新品; ,,,,,1000,129.56,1
23,23,持平,9.35108E+11,【政府补贴15%】小米智能门锁E10指纹锁家用入户防盗锁智能锁E30,小米,526.15,1000,551.65,1000,551650,天猫优品官方旗舰店,https://detail.tmall.com/item.htm?id=935108164549&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000fhCzFjTUYzSQxWDpkSNEdQlMnCFsZhHEyJmsYjfQlsM&skuId=5991193183589&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22f606b1dcf6e2ed13a0683094738ddd21%22%7D&spm=a21n57.1.item.29,,同上,同上,同上,同上,同上,551.65,
24,13,下降11,7.57249E+11,室内木门指纹锁办公室密码门锁家用卧室房间门把手分体智能电子锁,欧时特,148,1100,142,1000,142000,欧时特旗舰店,https://detail.tmall.com/item.htm?id=757248808685&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000DqELQN5px_ZsDutW-9OxszzTeGOSku2nu-a2ll5lQPw&skuId=5392210610776&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%228cbda79e00848f4b4bf405de4b2dcee2%22%7D&spm=a21n57.1.item.27,,同上,142,同上,同上,1000,同上,
25,24,下降1,9.12104E+11,好太太指纹锁家用防盗门智能门锁人脸识别入户门电子锁木门密码锁,好太太,322.15,1000,317.05,1000,317050,好太太智能家居旗舰店,https://detail.tmall.com/item.htm?id=912103881897&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=693e9ad19887303fb04d93c29c23673a04bbb3b0&mi_id=0000-RTAecXfwBvLbDjscWRWlnyCAnBfwM5PVoepHR1iMAg&skuId=5774587872987&priceTId=214781f817555875122823867e0f19&utparam=%7B%22aplus_abtest%22%3A%22fc1d463990730c8752a5eb2b68bfdf1c%22%7D&spm=a21n57.1.item.32,,同上,317.05,同上,同上,同上,同上,
