页码,商品ID,商品标题,国补后价格,店铺名称,商品链接,付款人数,品牌,付款金额,2025-08-15_Price,2025-08-15_Main_Image_URL,热水器海尔型号,尺寸,售后服务,防冻功能,毛重,智能控制,保修年限,排烟方式,热水器安装要求,包装尺寸,能效等级,净重,是否防冻,恒温类型,产地,热水器燃气类型,材质,是否恒温,堆码层数极限,必备安装配件,系列,控制方式,功率,颜色分类,3C证书编号,保修期,热水器美的型号,热水器万和型号,上市时间,能效备案号,热水器升位,热水器万家乐型号,生产企业,物流配送安装服务,安装服务,出水方式,型号,燃料种类,款式,功能,热水器能率型号,安装方式,智能类型,省份,地市,电线截面要求,加热功率,工作电压,采购地,热水产率（L/min）,产品类型,热效率（%）,适用人数,配套附带
13,8.45945E+11,樱花燃气热水器家用卫生间洗澡恒温强排燃气热水器官方旗舰店,989,樱花卫厨官方旗舰店,https://detail.tmall.com/item.htm?id=845944874774&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000L90N3kKIpdzdDwh0u9Z1cY57gG_DhY3jBj-GLYpauy0&skuId=5869583907417&priceTId=214783fb17550608401982856e1c72&utparam=%7B%22aplus_abtest%22%3A%224df3cd74d8118a97f1da3d95ccd7a1ee%22%7D&spm=a21n57.1.item.13,6,Sakura/樱花,5934,989,https://gw.alicdn.com/bao/uploaded/i3/877564609/O1CN01R61uh51juyT9cJomq_!!877564609.jpg_.webp,,550x350x166mm,全国联保,非防冻,10.4kg,不支持智能,,强排式,未安装排烟管禁止使用,670x505x217mm,无,8.4kg,否,机械恒温,中国大陆,液化石油气,不锈钢,是,8层,直弯烟管组合,027F,微电脑式,30W,JSQ25-027F 13L13L,2.02035E+15,36个月,,,2019-06,无,13L,,樱花卫厨（中国）股份有限公司,送货上门安装,含安装,,JSQ25-027F,,,,,,,,,,,,,,,,,
7,8.11408E+11,樱花官方旗舰店燃气热水器水气双调恒温家用13升16L防冻TJP202,997,樱花厨电旗舰店,https://detail.tmall.com/item.htm?id=811407716692&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000DkzZaHofSoEafLN3-PYJgQpUACvBnZZuIJEnKLeNdI4&skuId=5976201327289&priceTId=2147842d17550607197295489e229c&utparam=%7B%22aplus_abtest%22%3A%22efadda65bd02c8fb454806607b477c08%22%7D&spm=a21n57.1.item.45,19,SAKURA/樱花,18943,997,https://gw.alicdn.com/bao/uploaded/i2/2216045928947/O1CN01ilGz052FxmfFYnKLH_!!2216045928947.jpg_.webp,,520x330x152mm,上门安装全国联保,,9.2kg,不支持智能,36个月,强排式,,675x455x205mm,二级,7.3kg,否,水气双调,中国大陆,天然气,,是,8层,,,微电脑式,30W,JP002-10升（预售8月20日发货） JP002-13升（预售8月20日发货） TJP202-13升 TJP202-16升 TSP606-13升 变频水伺服 TSP606-16升 变频水伺服 高端SP601A-13升 高端SP601A-16升,2.02235E+15,,,,2024-02,,10L,,樱花卫厨(中国)股份有限公司,送货上门安装,含安装,,JSQ20-JP002,,,,,,,,,,,,,,,,,
4,7.3042E+11,万家乐恒温王气电双防燃气热水器家用节能静音天然气旗舰店DP3,998,万家乐官方旗舰店,https://detail.tmall.com/item.htm?id=730420160107&ns=1&abbucket=19&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=a9ee6d5cc237b3ced8b17daaeff29c342855f08c&mi_id=0000CGqJHLboiWTX0ywCz23E_X_yKhOvOIHiBvxGfO4UOu0&skuId=5702505161789&priceTId=214783e617550606581112356e14d4&utparam=%7B%22aplus_abtest%22%3A%229ab04debb4d3ff9d4d1ba2562fcf244e%22%7D&spm=a21n57.1.item.46,42,Macro/万家乐,41916,998,https://gw.alicdn.com/bao/uploaded/i2/810471546/O1CN01I0B4Cr1NI7LISv6tg_!!810471546.jpg_.webp,,525x340x155mm,全国联保,机械防冻,12.5kg 12kg,其他智能,,强排式,未安装排烟管禁止使用,708x515x240mm,二级,10kg 9.5kg,是,电子恒温,中国大陆,天然气,,是,8层,直弯烟管组合,J,微处理器+燃气调节,40W,JSQ30-16DP3 (F) 16L高光白 JSQ26-13DP3 (F) 13L高光白,2.02035E+15,96个月,,,,,,JSQ30-16DP3 (F) JSQ26-13DP3 (F),广东万家乐燃气具有限公司,送货上门安装,含安装,自动出水,,天然气,,,,,,,,,,,,,,,,
7,7.42275E+11,老板名气燃气热水器家用恒温天然气淋浴器16L大容量热水器R5A36,998.75,名气官方旗舰店,https://detail.tmall.com/item.htm?id=742275261483&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000uN19P7sDDXEkbm7KcmSuo6pdyXl8w25c3zGVy_aZBfY&skuId=5945910823882&priceTId=2147842d17550607197295489e229c&utparam=%7B%22aplus_abtest%22%3A%22ccad990674a42fa65753cfcc3401640c%22%7D&spm=a21n57.1.item.50,18,MQ/名气,17977.5,998.75,https://img.alicdn.com/imgextra/i2/1880875948/O1CN015GjbQa1toEskUgfFN_!!1880875948.png_.webp,,570x358x176mm 540x348x172mm,全国联保,,13.4kg 11.4kg,不支持智能,,强排式,,715x505x230mm 708x530x268mm,二级,11.4kg 9.2kg,是,机械恒温,中国大陆,天然气,,是,4层,,无,微处理器+燃气调节,45W 35W,JSQ31-R5A31-16 16L白色 JSQ31-R5A36-16白色,2.02335E+15,60个月,,,2025-04,20250319-CEL0092016-129687,16L,,杭州名气电器有限公司,,,,JSQ31-R5A36-16 JSQ31-R5A31-16,,,,,,,,,,,,,,,,,
4,9.53443E+11,万和16升燃气热水器家用天然气恒温一级节能省气静音官方旗舰店,999,百亿补贴官方精选,https://detail.tmall.com/item.htm?id=953442512329&ns=1&abbucket=19&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=0e30e7942f32a8559b19fcb49cf3ea0bfd888959&mi_id=0000tBcaDj_FBveSpt5wX3SdgX7ZPN2KVywin-iouQ6BJ54&skuId=5870746172678&priceTId=214783e617550606581112356e14d4&utparam=%7B%22aplus_abtest%22%3A%222be17203a8e666e17dfe21635bb3cc5c%22%7D&spm=a21n57.1.item.2,64,Vanward/万和,63936,1029,https://img.alicdn.com/imgextra/i4/2217587502021/O1CN01BA0jsr1QnfX0zJ4yB_!!4611686018427382725-0-item_pic.jpg_.webp,,523x337x178mm,上门安装全国联保,,13.1kg,其他智能,60个月,强排式,,710x490x235mm,二级,11.1kg,是,双驱水伺服,中国大陆,,,是,7层,直弯烟管组合,ME5T系列,触控式,40W,,2.02035E+15,,,JSQ30-16KH3,2025-05,20250227-CEL0092016-551293,16L,,,,,,,,,,,,,,,,,,,,,,,
6,7.11904E+11,美的燃气热水器家用水伺服恒温洗澡即热式天然气变频13L16升TC5S,1049,美的厨卫旗舰店,https://detail.tmall.com/item.htm?id=711903899560&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000ze99qNNXgQkdtuNEZynKH_nwO99O9n3GkSGyrjEzP4M&skuId=5742520896007&priceTId=2147817d17550606995197137e125b&utparam=%7B%22aplus_abtest%22%3A%229ac50f9c9244be64f637a9f85d644d54%22%7D&spm=a21n57.1.item.38,47,Midea/美的,49303,1049,https://gw.alicdn.com/bao/uploaded/i4/2215635917781/O1CN01fGSL3s27Lkpa5Q5Ky_!!2215635917781.jpg_.webp,,530x335x176mm,上门安装全国联保,机械加电辅防冻,12.5kg,其他智能,96个月,强排式,未安装排烟管禁止使用,708x480x232mm,二级,10.5kg,是,水量伺服,中国大陆,天然气,钢化玻璃+不锈钢,是,8层,直弯烟管组合,燃气热水器,微处理器+燃气调节,50W,JSQ30-TC5S曜石灰,2.02001E+15,,JSQ30-TC5S,,,,,,美的,送货上门安装,,,,,,,,,,,,,,,,,,,,
3,7.1466E+11,政府以旧换新补贴万家乐安睡洗燃气热水器天然气家用恒温洗澡RS8,1099,万家乐官方旗舰店,https://detail.tmall.com/item.htm?id=714659771598&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00004tut6PNfYCghRNzYSGQCiaAvEl15yhlRoQcshOWUzlM&skuId=5596125079475&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%22e92776a7b37f69df6f94c822ea9eafc0%22%7D&spm=a21n57.1.item.9,100,Macro/万家乐,109900,1099,https://gw.alicdn.com/bao/uploaded/i2/810471546/O1CN018HUF1k1NI7OsHMA02_!!810471546.jpg_.webp,,340x160x590mm 340x170x525mm 525x170x340mm 525x340x170mm,全国联保,机械加电辅防冻,14kg 13kg 13.5kg 12kg 12.5kg,其他智能,,强排式,未安装排烟管禁止使用,813x575x243mm 756x515x263mm 717x472x270mm,二级,12kg 11kg 10kg 10.5kg 9.5kg,是,水量伺服,中国大陆,天然气,钢化玻璃+不锈钢,是,8层 10层,直弯烟管组合,月光RS8系列 R Q R T6S（F） Q,微处理器+燃气调节,40W,JSQ26-13RS8(F) 13L玉石白 JSQ30-16RS8(F) 16L玉石白 JSQ26-13TS6(F) 13L斜纹深灰 JSQ30-16TS6(F) 16L斜纹深灰 JSQ26-13RHI2 13L高光白 JSQ30-16RHI2 16L高光白,2.02035E+15,96个月,,,2023-04 2024-05,20230103-481200-841672713930045 20230103-481200-86551672713270046 20231220-481200-29241703041530095,,JSQ26-13RS8(F) JSQ30-16RS8(F) JSQ26-13RHI2 JSQ30-16RHI2 JSQ30-16TS6(F) JSQ26-13TS6(F),广东万家乐燃气具有限公司,送货上门安装,含安装,,,,,,,,,,,,,,,,,,,
6,8.48109E+11,国美一级能效零冷水双增压燃气热水器家用16L18L天然气液化气洗澡,1099,国美电器厨卫旗舰店,https://detail.tmall.com/item.htm?id=848109218994&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000ym_YsItUpIBqWR6VIUc1kBG7TizUZ6s6TAedNED25wo&skuId=5636189017227&priceTId=2147817d17550606995197137e125b&utparam=%7B%22aplus_abtest%22%3A%22a3b3f20b749e5f28c893f98c563c7d55%22%7D&spm=a21n57.1.item.24,27,国美电器,29673,1099,https://gw.alicdn.com/bao/uploaded/i3/2218818362042/O1CN01id3OWK1QxHo1Z9crk_!!2218818362042.jpg_.webp,,570x150x380mm,上门安装全国联保,,13kg,其他智能,,强排式,,730x240x535mm,一级,12kg,是,零冷水,中国大陆,液化石油气 天然气,钢化玻璃+不锈钢,是,6层,直弯烟管组合,,触控式,35W,超一级能效12升变频恒温省气30%以上*上门安装 超一级能效13升变频恒温省气30%以上*上门安装 超一级能效16升变频恒温省气30%以上*上门安装 超一级能效18升变频恒温省气30%以上*上门安装 超一级能效12升零冷水双增压变频恒温省气30%以上*上门安装 超一级能效13升零冷水双增压变频恒温省气30%以上*上门安装 超一级能效16升零冷水双增压变频恒温省气30%以上*上门安装 超一级能效18升零冷水双增压变频恒温省气30%以上*上门安装,2.02201E+15,96个月,,,,,,,,,,,JSLQ28-CL01,,,,,,,,,,,,,,,,,
16,7.94079E+11,迅达燃气热水器电家用洗澡强排式ECO节能恒温防冻天然气16升DS803,1099,迅达旗舰店,https://detail.tmall.com/item.htm?id=794078871778&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000deCDu7k4D_GwR7LBqsjgZp04qSgC7hI7VXT2eDzf3F8&skuId=5420223044675&priceTId=2147831617550608968648196e13c5&utparam=%7B%22aplus_abtest%22%3A%22f519d4a14916fae856adfc48a5ba927f%22%7D&spm=a21n57.1.item.32,3,迅达,3297,1099,https://gw.alicdn.com/bao/uploaded/i3/2091271382/O1CN01OCE5Qm1M50OOFgXCj_!!2091271382.jpg_.webp,,348x172x540mm,全国联保,电辅防冻,13kg,其他智能,,强排式,,530x268x708mm,二级,10kg,是,水气双调,中国大陆,天然气,无氧铜,是,4层,直弯烟管组合,D,微电脑式,45W,【16升大水量】DS803节能ECO（一厨二卫）,2.02535E+15,24个月,,,,,,,迅达科技集团股份有限公司,,含安装,,DS803,,,,,,,,,,,,,,,,,
5,5.97528E+11,[政府补贴] 万和智能水伺服家用恒温洗澡天然气燃气热水器ME5WPRO,1103.3,vanward万和官方旗舰店,https://detail.tmall.com/item.htm?id=597528426359&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00001D-dSAdVDVYqdfsCs6vrvhfEpt3-tAkCVEaSpAhQfsA&skuId=5854564566140&priceTId=2147850817550606789858239e1b10&utparam=%7B%22aplus_abtest%22%3A%224356a0964c21170086edb3498a6847a0%22%7D&spm=a21n57.1.item.32,49,Vanward/万和,54061.7,1103.3,https://gw.alicdn.com/bao/uploaded/i1/1638292152/O1CN01zSIrjE1RlfNWiE9hv_!!1638292152.jpg_.webp,,540x345x160mm 540x345x181mm,上门安装全国联保,,12.2kg 13.9kg,不支持智能,,强排式,未安装排烟管禁止使用,750x535x231mm 760x533x275mm,二级,9.7kg 11kg,是,水气双调,中国大陆,天然气,钢化玻璃+不锈钢,是,7层 9层,直弯烟管组合,5系,微电脑式,30W 35W,JSQ25-WME5W13-PRO钛银灰 JSQ30-WME5W16 PRO钛银灰,2.02201E+15,96个月,,JSQ25-WME5W13-PRO JSQ30-WME5W16 PRO,,,,,广东万和新电气股份有限公司,,,,,,,,,,,,,,,,,,,,,
1,8.63213E+11,海尔官方燃气热水器天然气节能恒温水伺服16升13家用款白月光WM5C,1104.15,海尔热水器旗舰店,https://detail.tmall.com/item.htm?id=863212656414&ns=1&abbucket=19&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=11612af9e963b290bd1608868b511a55142e82d0&mi_id=0000qE0bV_DvNnEvlXEKF9yrpwWIsmAAK2uRnVAe-WeKgTg&skuId=5850616366078&priceTId=2147802b17550605903683410e1363&utparam=%7B%22aplus_abtest%22%3A%22b30e4eea75133b8ddf11f7c23e717985%22%7D&spm=a21n57.1.item.26,500,Haier/海尔,552075,1104.15,https://gw.alicdn.com/bao/uploaded/i4/883072941/O1CN01wtfxAX1Xb1qtDTIe0_!!883072941.jpg_.webp,JSQ30-16WM5CDU1 JSQ25-13WM5CDU1,540x340x165mm 540x340x145mm,,,13.9kg 13.3kg,其他智能,36个月,强排式,,704x521x257mm 704x521x237mm,二级,12kg 11.4kg,是,水气双调,中国大陆,天然气,钢化玻璃+不锈钢,是,15层,直弯烟管组合,白月光WM5C,微电脑式,48W 42W,JSQ25-13WM5CDU1 13L冰雪白 JSQ30-16WM5CDU1 16L冰雪白,2.02101E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.99907E+11,[新品]小米官方米家燃气热水器S10家用天然气一级静音恒温水伺服,1088.86,小米官方旗舰店,https://detail.tmall.com/item.htm?id=899907345812&ns=1&abbucket=19&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=ab5b8a3d915d27c575d3c0403de602493c042e18&mi_id=00008pR2C9f6tCCEo_AxLYB8YePWb17U6_TW085sf68q4es&skuId=5756211017458&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%22ef3e56cc7945772d3280f0312149d76c%22%7D&spm=a21n57.1.item.20,100,MIJIA/米家,108886,1104.15,https://gw.alicdn.com/bao/uploaded/i1/1714128138/O1CN01vWJ4l329zGEyZ4G43_!!1714128138.png_.webp,,530x360x180mm,,,12.6kg,其他智能,36个月,强排式,,665x500x242mm,二级,10.8kg,是,水量伺服,中国大陆,天然气,,是,8层,直弯烟管组合,米家燃气热水器,微电脑式,35W,JSQ30-MJ05 16L白色,2.02535E+15,,,,,,,,,,,,JSQ30-MJ05,,,,,,,,,,,,,,,,,
3,9.00637E+11,补贴15%】小米米家智能恒温燃气热水器16LS10家用天然气热水器03,1084.61,喵速达电器官方旗舰店,https://detail.tmall.com/item.htm?id=900637450272&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000evUqiNpOfJHh5Mmvquyfupf0GFleO3vlxtOO58yNHvs&skuId=5756222720804&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%22a65aba981e80895741f0a44fee3cfb4f%22%7D&spm=a21n57.1.item.45,69,MIJIA/米家,74838.09,1104.15,https://gw.alicdn.com/bao/uploaded/i1/2213856588863/O1CN01blSPJU2FLJNME1OmT_!!2213856588863.jpg_.webp,,530x360x180mm,,,12.6kg,其他智能,36个月,强排式,,665x500x242mm,二级,10.8kg,是,双驱水伺服,中国大陆,天然气,,是,8层,,米家燃气热水器,微电脑式,35W,米家智能恒温燃气热水器16L S10,2.02535E+15,,,,2025-03,20240924-481200-51631727183280007,16L,,,,,,JSQ30-MJ05,,,,,,,,,,,,,,,,,
5,6.77263E+11,华帝燃气热水器家用i12151S天然气16升恒温水伺服热水器EC5旗舰店,1059.97,华帝烟灶旗舰店,https://detail.tmall.com/item.htm?id=677262913845&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000omUHLBxoOUgCv8k2HppaPTYaH9uTNR5HIGXsU8oGN40&skuId=6037036962284&priceTId=2147850817550606789858239e1b10&utparam=%7B%22aplus_abtest%22%3A%22f2f061c4c686c67547b697e031b22e77%22%7D&spm=a21n57.1.item.34,34,Vatti/华帝,36038.98,1104.15,https://gw.alicdn.com/bao/uploaded/i4/3296198234/O1CN01ine4M52AhEHPCQATa_!!3296198234.jpg_.webp,,600x345x195mm 622x370x183mm,上门安装全国联保,,15kg 14kg 15.6kg,其他智能,96个月,强排式,,720x550x258mm 748x535x245mm 720x550x245mm,二级,12.8kg 11.8kg 13.5kg,是,机械恒温,中国大陆,液化石油气 天然气,金属,是,10层,直弯烟管组合,EC5 i12103 i12165-16,微电脑式 触控式,48W,JSQ30-i12151S-16灰色 JSQ30-i12165-16灰色 JSQ30-i12103-16灰色,2.02001E+15,,,,,,,,,,,,JSQ30-i12151S-16 JSQ30-i12165-16 JSQ30-i12103-16,,,,,,,,,,,,,,,,,
6,6.69812E+11,政府补贴华帝燃气热水器EC5水伺服恒温家用天然气16L静音节能152S,1065.07,华帝热水器旗舰店,https://detail.tmall.com/item.htm?id=669811861768&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000qNC7nE0xR3RczxQJvPXPm4ftzv77BMddW_zV3KQ-JCE&skuId=5978190127207&priceTId=2147817d17550606995197137e125b&utparam=%7B%22aplus_abtest%22%3A%22a99523a4b048965ebe88fa59863ef4e7%22%7D&spm=a21n57.1.item.26,31,Vatti/华帝,33017.17,1104.15,https://gw.alicdn.com/bao/uploaded/i4/2096903549/O1CN01DfItV81c5Ui1HFwNL_!!2096903549.jpg_.webp,,622x370x183mm 600x345x195mm,,,14kg 15kg 15.6kg,其他智能,60个月,强排式,,748x535x245mm 720x550x258mm 720x550x245mm,二级,11.8kg 12.8kg 13.5kg,是,温感水伺服,中国大陆,天然气,,是,10层,直弯烟管组合,i12103 i12165-16,微电脑式 触控式,48W,JSQ30-i12152S-16 16L灰色 JSQ30-i12165-16浅灰色 JSQ30-i12103-16灰色,2.02001E+15,,,,2025-04,20250310-CEL0092016-269978,16L,,,,,,JSQ30-i12152S-16 JSQ30-i12165-16 JSQ30-i12103-16,,,,,,,,,,,,,,,,,
1,7.49548E+11,[政府补贴]万和燃气热水器家用天然气一级16升静音官方旗舰店ME5T,890.8,万和厨电旗舰店,https://detail.tmall.com/item.htm?id=749547775950&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=000066rHAb6DSzzKcMDZoxdhzTRTg-Rkeowy8hHYyboChig&skuId=6052070746169&priceTId=2147802b17550605903683410e1363&utparam=%7B%22aplus_abtest%22%3A%2246302e06450ab06157a2df292bfcf67e%22%7D&spm=a21n57.1.item.41,300,Vanward/万和,267240,1118,https://gw.alicdn.com/bao/uploaded/i2/2286859561/O1CN01kKj8bT2KUzqFAN5JH_!!2286859561.jpg_.webp,,523x337x178mm 568x345x170mm 523x337x150mm 337x168x522mm 337x191x522mm,,,13.1kg 15.5kg 11.3kg 11.7kg,其他智能,60个月,强排式,,710x490x235mm 760x533x275mm 700x490x215mm 492x219x763mm,二级,11.1kg 12.9kg 9.3kg 8.8kg,是,水气双调,中国大陆,天然气,钢化玻璃+不锈钢,是 否,7层 9层 1层,直弯烟管组合,ME5T系列 M6 ME5T 星光M6系列,微电脑式 触控式,40W 38W 45W,JSQ27-14M6月光银 JSQ30-16M6月光银 JSQ25-ME5T13钛银灰 JSQ30-ME5T16钛银灰 JSQ30-16KH3星瀚灰 JSQ30-16KH3 MAX 16L星空灰,2.02035E+15,,,JSQ30-16KH3 JSQ30-ME5T16 JSQ30-16KH3 MAX JSQ27-14M6 JSQ25-ME5T13 JSQ30-16M6,2025-05,20250227-CEL0092016-551293,16L,,,,,,,,,,,,,,,,,,,,,,,
7,8.428E+11,海尔智家Leader官方燃气款热水器家用洗澡天然气恒温一级能效LN3,1119.2,海尔热水器旗舰店,https://detail.tmall.com/item.htm?id=842800039393&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000TylVXwuIzMfc46zo4FfNh8tEzzwIxjp9qxdnrKzpYSk&skuId=5784411542764&priceTId=2147842d17550607197295489e229c&utparam=%7B%22aplus_abtest%22%3A%22604cd56678d293163a8d6df08f1507c6%22%7D&spm=a21n57.1.item.2,38,海尔,42529.6,1119.2,https://gw.alicdn.com/bao/uploaded/i4/883072941/O1CN01AOq7md1Xb1pN0UubP_!!883072941.jpg_.webp,,,,,,,,,,,,,是,水量伺服,中国大陆,天然气,,是,20层,直弯烟管组合,LN3,微电脑式,48W,JSLQ27-16LN3DU1冰雪白,2.02301E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6.19821E+11,政府补贴万家乐节能王燃气热水器1级能效16L变频恒温天然气热水器,1380.51,万家乐兴典专卖店,https://detail.tmall.com/item.htm?id=619821186623&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000pfz12jJj3LGUTuxSYOFFzNCC14CPUi_2PGbOpFoTW74&skuId=6012258154793&priceTId=214783fb17550608401982856e1c72&utparam=%7B%22aplus_abtest%22%3A%22279a5c590003ea4d9004e9a1044a4a76%22%7D&spm=a21n57.1.item.12,6,Macro/万家乐,8283.06,1119.2,https://gw.alicdn.com/bao/uploaded/i3/1024134743/O1CN01E6RFiW1kuLbi82pwj_!!1024134743.jpg_.webp,,525x340x155mm 525x340x170mm,全国联保,,13.5kg 15kg 16kg 14.5kg,其他智能,96个月,强排式,未安装排烟管禁止使用,756x515x263mm 813x575x262mm 717x472x270mm,一级,10.5kg 11.5kg 12kg 10.5kg,是 否,水气双调,中国大陆,天然气,,是,8层 10层,直弯烟管组合,Q J R3 TLU3,微处理器+燃气调节,40W 35W,JSLQ27-16U5R1耀月银白超一级能效ECO节能35% JSLQ22-13R3珍珠白一级能效变频恒温 JSLQ27-16R3珍珠白一级能效变频恒温 JSLQ22-13RU5（F） 13L星空灰一级能效水伺服恒温 JSLQ27-16RU5(F)星空灰一级能效水伺服恒温 JSLQ27-16TLU3牛油果绿一级能效水伺服恒温,2.02001E+15,,,,2023-07,20230412-481100-94921681280070069,13L,JSLQ27-16R3 JSLQ22-13R3 JSLQ27-16TLU3 JSLQ27-16RU5(F) JSLQ27-16U5R1 JSLQ22-13RU5（F）,,,,,,,,,,,,,,,,,,,,,,
4,6.55528E+11,以旧换新万家乐燃气热水器家用天然气16升18双伺服增压零冷水回水,1191.51,万家乐兴典专卖店,https://detail.tmall.com/item.htm?id=655527605152&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000ELTjo6KoKoBIlJ2o0SBiueubTFIu0glxLHaz6aBJi_s&skuId=5825559887262&priceTId=214783e617550606581112356e14d4&utparam=%7B%22aplus_abtest%22%3A%227845eb905c749562dc188901c53425d3%22%7D&spm=a21n57.1.item.20,56,Macro/万家乐,66724.56,1129.65,https://gw.alicdn.com/bao/uploaded/i4/1024134743/O1CN01uP7cNU1kuLbRj0ZtO_!!1024134743.jpg_.webp,,340x170x525mm 525x340x170mm 550x340x170mm 590x340x175mm,全国联保,机械加电辅防冻,14kg 13kg 17kg,已连接天猫精灵,96个月,强排式,未安装排烟管禁止使用,515x263x756mm 756x515x263mm 718x490x262mm 813x575x263mm,二级,11.5kg 12kg 10.5kg 10kg 14.5kg,是 否,零冷水,中国大陆,天然气,钢化玻璃+不锈钢 不锈钢,是,8层 10层,直弯烟管组合,TL1 J PL1S TL2,微处理器+燃气调节,35W 40W,JSQ26-13TL1星空灰【13升高性价比】 JSQ30-16TL1星空灰【16升高性价比】 JSQ26-13TL1S 13L黑色拉丝【13升AI半管节能】 JSQ30-16TL1S黑色拉丝【16升AI半管节能】 JSQ30-16PL1S高光白【16升AI半管节能】 JSQ34-18TL2 18L浅棕金【18升黄金大水量】,2.02035E+15,,,,,,,JSQ30-16TL1S JSQ26-13TL1 JSQ30-16TL1 JSQ34-18TL2 JSQ30-16PL1S JSQ26-13TL1S,广东万家乐燃气具有限公司,送货上门安装,,,,,,,,,,,,,,,,,,,,
16,9.63831E+11,林内天然气燃气热水器家用煤气液化气强排平衡式燃气款16L零冷水,1130,法梦嘉旗舰店,https://detail.tmall.com/item.htm?id=963830816279&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000lJnjnA2UmlUZ_CTNILrdl96b6RrhnXU_tg-shEQV9xU&skuId=5899792001834&priceTId=2147831617550608968648196e13c5&utparam=%7B%22aplus_abtest%22%3A%223b28ea5ab273025032aefed59c80d204%22%7D&spm=a21n57.1.item.38,3,法梦嘉,3390,1130,https://gw.alicdn.com/bao/uploaded/i4/2219765925167/O1CN01G3TCiX1o2XYFCx23E_!!2219765925167.jpg_.webp,,350x150x590mm,全国联保,电辅防冻,10.5kg,其他智能,12个月,强排式,未安装排烟管禁止使用,720x450x275mm,二级,8.5kg,是,水气双调,中国大陆,液化石油气 天然气,无,是,10层,直弯烟管组合,L0807145002,微电脑式,30W,12升银色恒温款适用一厨一卫+自行安装 12升银色恒温款适用一厨一卫+上门安装 16升银色恒温款适用一厨两卫+自行安装 16升银色恒温款适用一厨两卫+上门安装 12升贵宾银大屏款适用一厨一卫+自行安装 12升贵宾银大屏款适用一厨一卫+上门安装 16升贵宾银三档变升款适用一厨多卫+自行安装 16升贵宾银三档变升款适用一厨多卫+上门安装 12升星空灰大屏款适用一厨一卫+自行安装 12升星空灰大屏款适用一厨一卫+上门安装 16升星空灰三档变升款适用一厨多卫+自行安装 16升星空灰三档变升款适用一厨多卫+上门安装 12升珍珠白大屏款适用一厨一卫+自行安装 12升珍珠白大屏款适用一厨一卫+上门安装 16升珍珠白三档变升款适用一厨多卫+自行安装 16升珍珠白三档变升款适用一厨多卫+上门安装 10升银色恒温款适用一厨一卫+自行安装 10升银色恒温款适用一厨一卫+上门安装 12升贵宾银平衡式大屏款+可装浴室内+自行安装 12升贵宾银平衡式大屏款+可装浴室内+上门安装 16升贵宾银平衡式三档变升款+可装浴室内+自行安装 16升贵宾银平衡式三档变升款+可装浴室内+上门安装 16升零冷水即开即热免改水路+自行安装 16升零冷水即开即热免改水路+上门安装 12升墨韵灰大屏款适用一厨一卫+自行安装 12升墨韵灰大屏款适用一厨一卫+上门安装 16升墨韵灰三档变升款适用一厨多卫+自行安装 16升墨韵灰三档变升款适用一厨多卫+上门安装,2.02419E+15,,,,2025-01,,1L,,,送货上门无需安装,,,X0807145002,,,,,,,,,,,,,,,,,
