排序,商品名称,别名,商品ID,链接,登记日期,活动ID,活动名称,活动类型,系统推送时间
3,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,小海豚600G+（老）,225501370546,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,2025-10-08,21581,百亿补贴同价上首页,百亿补贴同价上首页,2024-05-26 15:55:02
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,21610,平台官方大促-晋升长期活动报名,大促搜索池,2025-09-30 13:48:23
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,23620,【10周年庆】-国庆中秋搜索推荐报名专区,大促搜索池,2025-09-30 13:48:16
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,21967,【上首页】流量续航（极速审核）,首页推荐专区,2025-09-30 12:06:52
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,22704,【百亿消费券】单件折扣9.7折,品牌清仓,2025-07-17 15:45:17
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,21657,【百亿消费券】活动长期报名链接,品牌清仓,2025-02-17 11:41:40
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,10441,百亿补贴报名入口,百亿补贴,2025-02-14 16:01:50
4,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,小海豚600G+冷热管线机套装,480070620581,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,2025-10-08,21581,百亿补贴同价上首页,百亿补贴同价上首页,2025-01-03 10:51:08
5,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,即热1000G,364990106384,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,2025-10-08,21663,【百亿消费券】单件折扣9折,品牌清仓,2025-06-16 15:47:15
5,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,即热1000G,364990106384,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,2025-10-08,21657,【百亿消费券】活动长期报名链接,品牌清仓,2025-02-18 16:54:34
5,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,即热1000G,364990106384,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,2025-10-08,21581,百亿补贴同价上首页,百亿补贴同价上首页,2025-02-18 16:01:03
5,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,即热1000G,364990106384,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,2025-10-08,10441,百亿补贴报名入口,百亿补贴,2025-02-18 16:00:57
6,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,小海豚600G+,205458105137,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,2025-10-08,21610,平台官方大促-晋升长期活动报名,大促搜索池,2025-09-30 13:48:23
6,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,小海豚600G+,205458105137,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,2025-10-08,23620,【10周年庆】-国庆中秋搜索推荐报名专区,大促搜索池,2025-09-30 13:48:16
