排序,别名,商品ID,券前价(元),活动类型,登记日期,活动状态,活动ID,活动名称,系统推送时间,商品名称,链接,69码
5,两件套1000G+管线机,246986456918,1917,百亿补贴同价上首页,2025-10-16,活动中,21581,百亿补贴同价上首页,2024-11-11 20:59:59,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
6,小海豚2 1000G,244055989700,609,首页推荐专区,2025-10-16,活动中,21967,【上首页】流量续航（极速审核）,2025-10-11 07:43:31,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,百亿补贴,2025-10-16,活动中,22827,百亿补贴报名入口-政府补贴（快速通道）,2025-09-23 15:06:41,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
7,小海豚2 1000G（新）,309517106373,928,无,2025-10-16,活动中,无,无报名记录,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,活动中,18425,百补商家自主降价链接,2025-10-15 14:50:38,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,活动中,10441,百亿补贴报名入口,2025-10-08 21:04:11,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,23643,【11.11大促】-搜索推荐报名专区,2025-10-16 10:20:24,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,20981,【11.11大促】20981长期报名入口,2025-10-15 13:15:30,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,23149,平台官方活动-长期-搜索推荐专区,2025-10-15 10:48:22,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,21374,平台官方活动-长期-搜索推荐专区,2025-10-12 13:15:51,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,22517,同价享大促流量,2025-10-11 15:38:14,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",首页推荐专区,2025-10-16,活动中,22029,同款商品竞价,2025-10-11 15:38:07,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,23637,【直通11.11】10周年庆搜索推荐专区,2025-10-10 17:49:35,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,21863,官方大促-全店平日价降价1%报名,2025-10-09 18:10:11,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,21610,平台官方大促-晋升长期活动报名,2025-09-30 13:48:23,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,活动中,23620,【10周年庆】-国庆中秋搜索推荐报名专区,2025-09-30 13:48:16,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,活动中,21610,平台官方大促-晋升长期活动报名,2025-10-16 10:20:31,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,活动中,23643,【11.11大促】-搜索推荐报名专区,2025-10-16 10:20:24,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,活动中,20981,【11.11大促】20981长期报名入口,2025-10-15 10:48:19,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,活动中,21374,平台官方活动-长期-搜索推荐专区,2025-10-13 13:16:10,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,活动中,22496,广告商品-大促专属报名通道,2025-10-10 17:56:15,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,活动中,18425,百补商家自主降价链接,2025-10-10 13:38:11,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",首页推荐专区,2025-10-16,活动中,21502,【上首页】极速通道（流量立享）,2025-10-08 11:10:55,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,活动中,23149,平台官方活动-长期-搜索推荐专区,2025-10-08 09:00:32,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,活动中,22258,百亿补贴官补晋升自补,2024-12-04 18:24:09,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,活动中,20453,百亿补贴电器限时降价,2024-12-04 18:24:01,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,活动中,23643,【11.11大促】-搜索推荐报名专区,2025-10-16 10:19:25,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,活动中,18425,百补商家自主降价链接,2025-10-15 16:41:04,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,活动中,22496,广告商品-大促专属报名通道,2025-10-10 17:56:08,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,首页推荐专区,2025-10-16,活动中,21967,【上首页】流量续航（极速审核）,2025-09-30 09:06:31,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,活动中,23149,平台官方活动-长期-搜索推荐专区,2025-09-28 10:50:34,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,活动中,20981,【11.11大促】20981长期报名入口,2025-09-27 14:49:52,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,活动中,21610,平台官方大促-晋升长期活动报名,2025-09-27 14:49:05,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,活动中,23620,【10周年庆】-国庆中秋搜索推荐报名专区,2025-09-27 14:48:58,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,活动中,18425,百补商家自主降价链接,2025-09-26 09:46:37,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,活动中,23581,百亿补贴报名入口-全国活动,2025-09-18 13:53:38,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,活动中,21364,平台官方活动-长期-品牌搜索推荐专区,2025-10-16 15:32:49,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,活动中,21610,平台官方大促-晋升长期活动报名,2025-10-16 10:20:31,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,活动中,23643,【11.11大促】-搜索推荐报名专区,2025-10-16 10:20:24,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,活动中,23149,平台官方活动-长期-搜索推荐专区,2025-10-15 10:48:22,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,活动中,18425,百补商家自主降价链接,2025-10-14 10:15:02,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,活动中,23531,百亿补贴电器限时降价（97折入口）,2025-10-15 00:00:23,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,活动中,10441,百亿补贴报名入口,2025-02-14 16:01:50,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
1,【升级小海豚】云米净水器800G通,405069782417,748.7,大促搜索池,2025-10-16,已结束,20981,【11.11大促】20981长期报名入口,2025-10-15 13:15:36,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,大促搜索池,2025-10-16,已结束,23149,平台官方活动-长期-搜索推荐专区,2025-10-15 10:48:22,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,百亿补贴,2025-10-16,已结束,10441,百亿补贴报名入口,无,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,大促搜索池,2025-10-16,已结束,23637,【直通11.11】10周年庆搜索推荐专区,2025-10-14 13:31:35,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,大促搜索池,2025-10-16,已结束,21610,平台官方大促-晋升长期活动报名,2025-09-30 13:48:23,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,大促搜索池,2025-10-16,已结束,23620,【10周年庆】-国庆中秋搜索推荐报名专区,2025-09-30 13:48:16,,,
1,【升级小海豚】云米净水器800G通,405069782417,748.7,百亿补贴,2025-10-16,已结束,19906,百亿补贴报名入口【极速审核】-指定类目,无,,,
2,AI净饮机Super2,826920121377,1157,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
2,AI净饮机Super2,826920121377,1157,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
2,AI净饮机Super2,826920121377,1157,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
2,AI净饮机Super2,826920121377,1157,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
2,AI净饮机Super2,826920121377,1157,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
2,AI净饮机Super2,826920121377,1157,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
2,AI净饮机Super2,826920121377,1157,百亿补贴,2025-10-16,已结束,22827,百亿补贴报名入口-政府补贴（快速通道）,无,云米矿泉台式净饮机即热式饮水机直饮家用矿化加热一体机净水器,https://mobile.yangkeduo.com/goods.html?goods_id=826920121377,
3,管线机Master3,604410073495,621,大促搜索池,2025-10-16,已结束,21610,平台官方大促-晋升长期活动报名,2025-09-30 13:48:23,云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌Master3,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
3,管线机Master3,604410073495,621,大促搜索池,2025-10-16,已结束,23620,【10周年庆】-国庆中秋搜索推荐报名专区,2025-09-30 13:48:16,云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌Master3,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
3,管线机Master3,604410073495,621,大促搜索池,2025-10-16,已结束,23149,平台官方活动-长期-搜索推荐专区,2025-09-30 12:09:00,云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌Master3,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
3,管线机Master3,604410073495,621,首页推荐专区,2025-10-16,已结束,21967,【上首页】流量续航（极速审核）,2025-09-30 12:06:53,云米冷热管线机饮水机壁挂式双出水台式管线机UV杀菌Master3,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
4,即热1000G,364990106384,1449.00，1479.00,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-14 09:41:47,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-14 09:40:30,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-14 09:37:52,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,已结束,22180,百亿加倍补-电器大爆款报名,2025-10-10 17:45:20,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-10-09 15:04:40,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
4,即热1000G,364990106384,1449.00，1479.00,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-09-29 19:48:48,云米即热净水器厨房家用直饮RO反渗透加热净饮一体机1000G,https://mobile.yangkeduo.com/goods.html?goods_id=364990106384,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-11 09:57:26,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-10 10:46:03,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-10 10:24:44,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-09-29 19:48:48,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-09-29 19:48:53,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,补贴秒杀,2025-10-16,已结束,17987,【精选首页】补贴秒杀品牌商品,无,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,23581,百亿补贴报名入口-全国活动,无,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,10441,百亿补贴报名入口,无,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,19906,百亿补贴报名入口【极速审核】-指定类目,无,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
